dteday,yr,mnth,hr,weekday,workingday,season,weathersit,cnt,registered,casual
2011-01-05,2011,1,11,2011-01-05,iya,semi,Cerah,46,34,12
2011-01-05,2011,1,12,2011-01-05,iya,semi,Cerah,79,74,5
2011-01-05,2011,1,13,2011-01-05,iya,semi,Cerah,71,65,6
2011-01-05,2011,1,14,2011-01-05,iya,semi,Cerah,62,52,10
2011-01-05,2011,1,15,2011-01-05,iya,semi,Cerah,62,55,7
2011-01-05,2011,1,16,2011-01-05,iya,semi,Cerah,89,85,4
2011-01-05,2011,1,17,2011-01-05,iya,semi,Cerah,190,186,4
2011-01-05,2011,1,18,2011-01-05,iya,semi,Cerah,169,166,3
2011-01-05,2011,1,19,2011-01-05,iya,semi,Cerah,132,127,5
2011-01-05,2011,1,20,2011-01-05,iya,semi,Cerah,89,82,7
2011-01-05,2011,1,21,2011-01-05,iya,semi,Cerah,43,40,3
2011-01-05,2011,1,22,2011-01-05,iya,semi,Cerah,42,41,1
2011-01-05,2011,1,23,2011-01-05,iya,semi,Cerah,19,18,1
2011-01-06,2011,1,0,2011-01-06,iya,semi,Cerah,11,11,0
2011-01-06,2011,1,1,2011-01-06,iya,semi,Cerah,4,4,0
2011-01-06,2011,1,2,2011-01-06,iya,semi,Cerah,2,2,0
2011-01-06,2011,1,4,2011-01-06,iya,semi,berkabut,1,1,0
2011-01-06,2011,1,5,2011-01-06,iya,semi,berkabut,4,4,0
2011-01-06,2011,1,6,2011-01-06,iya,semi,berkabut,36,36,0
2011-01-06,2011,1,7,2011-01-06,iya,semi,berkabut,95,95,0
2011-01-06,2011,1,8,2011-01-06,iya,semi,Cerah,219,216,3
2011-01-06,2011,1,9,2011-01-06,iya,semi,berkabut,122,116,6
2011-01-06,2011,1,10,2011-01-06,iya,semi,Cerah,45,42,3
2011-01-06,2011,1,11,2011-01-06,iya,semi,Cerah,59,57,2
2011-01-06,2011,1,12,2011-01-06,iya,semi,Cerah,84,78,6
2011-01-06,2011,1,13,2011-01-06,iya,semi,Cerah,67,55,12
2011-01-06,2011,1,14,2011-01-06,iya,semi,Cerah,70,59,11
2011-01-06,2011,1,15,2011-01-06,iya,semi,Cerah,62,54,8
2011-01-06,2011,1,16,2011-01-06,iya,semi,Cerah,86,74,12
2011-01-06,2011,1,17,2011-01-06,iya,semi,Cerah,172,163,9
2011-01-06,2011,1,18,2011-01-06,iya,semi,Cerah,163,158,5
2011-01-06,2011,1,19,2011-01-06,iya,semi,Cerah,112,109,3
2011-01-06,2011,1,20,2011-01-06,iya,semi,Cerah,69,66,3
2011-01-06,2011,1,21,2011-01-06,iya,semi,berkabut,48,48,0
2011-01-06,2011,1,22,2011-01-06,iya,semi,berkabut,52,51,1
2011-01-06,2011,1,23,2011-01-06,iya,semi,berkabut,23,19,4
2011-01-07,2011,1,0,2011-01-07,iya,semi,berkabut,17,13,4
2011-01-07,2011,1,1,2011-01-07,iya,semi,berkabut,7,5,2
2011-01-07,2011,1,2,2011-01-07,iya,semi,berkabut,1,1,0
2011-01-07,2011,1,4,2011-01-07,iya,semi,berkabut,1,1,0
2011-01-07,2011,1,5,2011-01-07,iya,semi,Hujan Ringan/salju,5,5,0
2011-01-07,2011,1,6,2011-01-07,iya,semi,berkabut,34,26,8
2011-01-07,2011,1,7,2011-01-07,iya,semi,Cerah,84,76,8
2011-01-07,2011,1,8,2011-01-07,iya,semi,Cerah,210,190,20
2011-01-07,2011,1,9,2011-01-07,iya,semi,Cerah,134,125,9
2011-01-07,2011,1,10,2011-01-07,iya,semi,Cerah,63,47,16
2011-01-07,2011,1,11,2011-01-07,iya,semi,berkabut,67,48,19
2011-01-07,2011,1,12,2011-01-07,iya,semi,berkabut,59,50,9
2011-01-07,2011,1,13,2011-01-07,iya,semi,berkabut,73,64,9
2011-01-07,2011,1,14,2011-01-07,iya,semi,berkabut,50,43,7
2011-01-07,2011,1,15,2011-01-07,iya,semi,berkabut,72,63,9
2011-01-07,2011,1,16,2011-01-07,iya,semi,berkabut,87,82,5
2011-01-07,2011,1,17,2011-01-07,iya,semi,berkabut,187,178,9
2011-01-07,2011,1,18,2011-01-07,iya,semi,Cerah,123,116,7
2011-01-07,2011,1,19,2011-01-07,iya,semi,Cerah,95,92,3
2011-01-07,2011,1,20,2011-01-07,iya,semi,Cerah,51,50,1
2011-01-07,2011,1,21,2011-01-07,iya,semi,Cerah,39,39,0
2011-01-07,2011,1,22,2011-01-07,iya,semi,berkabut,36,34,2
2011-01-07,2011,1,23,2011-01-07,iya,semi,berkabut,15,14,1
2011-01-08,2011,1,0,2011-01-08,tidak,semi,berkabut,25,24,1
2011-01-08,2011,1,1,2011-01-08,tidak,semi,berkabut,16,15,1
2011-01-08,2011,1,2,2011-01-08,tidak,semi,berkabut,16,13,3
2011-01-08,2011,1,3,2011-01-08,tidak,semi,Hujan Ringan/salju,7,7,0
2011-01-08,2011,1,4,2011-01-08,tidak,semi,Hujan Ringan/salju,1,1,0
2011-01-08,2011,1,5,2011-01-08,tidak,semi,berkabut,5,5,0
2011-01-08,2011,1,6,2011-01-08,tidak,semi,berkabut,2,2,0
2011-01-08,2011,1,7,2011-01-08,tidak,semi,berkabut,9,8,1
2011-01-08,2011,1,8,2011-01-08,tidak,semi,Hujan Ringan/salju,15,15,0
2011-01-08,2011,1,9,2011-01-08,tidak,semi,Hujan Ringan/salju,20,20,0
2011-01-08,2011,1,10,2011-01-08,tidak,semi,berkabut,61,56,5
2011-01-08,2011,1,11,2011-01-08,tidak,semi,berkabut,62,60,2
2011-01-08,2011,1,12,2011-01-08,tidak,semi,berkabut,98,90,8
2011-01-08,2011,1,13,2011-01-08,tidak,semi,Cerah,102,95,7
2011-01-08,2011,1,14,2011-01-08,tidak,semi,Cerah,95,83,12
2011-01-08,2011,1,15,2011-01-08,tidak,semi,Cerah,74,69,5
2011-01-08,2011,1,16,2011-01-08,tidak,semi,Cerah,76,68,8
2011-01-08,2011,1,17,2011-01-08,tidak,semi,Cerah,69,64,5
2011-01-08,2011,1,18,2011-01-08,tidak,semi,Cerah,55,52,3
2011-01-08,2011,1,19,2011-01-08,tidak,semi,Cerah,30,26,4
2011-01-08,2011,1,20,2011-01-08,tidak,semi,Cerah,28,28,0
2011-01-08,2011,1,21,2011-01-08,tidak,semi,Cerah,37,35,2
2011-01-08,2011,1,22,2011-01-08,tidak,semi,Cerah,34,33,1
2011-01-08,2011,1,23,2011-01-08,tidak,semi,Cerah,22,22,0
2011-01-09,2011,1,0,2011-01-09,tidak,semi,Cerah,25,24,1
2011-01-09,2011,1,1,2011-01-09,tidak,semi,Cerah,12,12,0
2011-01-09,2011,1,2,2011-01-09,tidak,semi,Cerah,11,11,0
2011-01-09,2011,1,3,2011-01-09,tidak,semi,Cerah,4,4,0
2011-01-09,2011,1,4,2011-01-09,tidak,semi,Cerah,1,1,0
2011-01-09,2011,1,5,2011-01-09,tidak,semi,Cerah,1,1,0
2011-01-09,2011,1,6,2011-01-09,tidak,semi,Cerah,1,1,0
2011-01-09,2011,1,7,2011-01-09,tidak,semi,Cerah,6,5,1
2011-01-09,2011,1,8,2011-01-09,tidak,semi,Cerah,10,10,0
2011-01-09,2011,1,9,2011-01-09,tidak,semi,Cerah,19,19,0
2011-01-09,2011,1,10,2011-01-09,tidak,semi,Cerah,49,49,0
2011-01-09,2011,1,11,2011-01-09,tidak,semi,Cerah,49,47,2
2011-01-09,2011,1,12,2011-01-09,tidak,semi,Cerah,83,79,4
2011-01-09,2011,1,13,2011-01-09,tidak,semi,Cerah,75,69,6
2011-01-09,2011,1,14,2011-01-09,tidak,semi,Cerah,72,64,8
2011-01-09,2011,1,15,2011-01-09,tidak,semi,Cerah,82,77,5
2011-01-09,2011,1,16,2011-01-09,tidak,semi,Cerah,92,79,13
2011-01-09,2011,1,17,2011-01-09,tidak,semi,Cerah,62,59,3
2011-01-09,2011,1,18,2011-01-09,tidak,semi,Cerah,48,44,4
2011-01-09,2011,1,19,2011-01-09,tidak,semi,Cerah,41,40,1
2011-01-09,2011,1,20,2011-01-09,tidak,semi,Cerah,38,38,0
2011-01-09,2011,1,21,2011-01-09,tidak,semi,Cerah,20,19,1
2011-01-09,2011,1,22,2011-01-09,tidak,semi,Cerah,15,10,5
2011-01-09,2011,1,23,2011-01-09,tidak,semi,Cerah,6,6,0
2011-01-10,2011,1,0,2011-01-10,iya,semi,Cerah,5,3,2
2011-01-10,2011,1,1,2011-01-10,iya,semi,Cerah,1,0,1
2011-01-10,2011,1,2,2011-01-10,iya,semi,Cerah,3,3,0
2011-01-10,2011,1,3,2011-01-10,iya,semi,Cerah,1,1,0
2011-01-10,2011,1,4,2011-01-10,iya,semi,Cerah,3,2,1
2011-01-10,2011,1,5,2011-01-10,iya,semi,Cerah,3,3,0
2011-01-10,2011,1,6,2011-01-10,iya,semi,Cerah,31,31,0
2011-01-10,2011,1,7,2011-01-10,iya,semi,Cerah,77,75,2
2011-01-10,2011,1,8,2011-01-10,iya,semi,berkabut,188,184,4
2011-01-10,2011,1,9,2011-01-10,iya,semi,berkabut,94,92,2
2011-01-10,2011,1,10,2011-01-10,iya,semi,berkabut,31,31,0
2011-01-10,2011,1,11,2011-01-10,iya,semi,berkabut,30,28,2
2011-01-10,2011,1,12,2011-01-10,iya,semi,berkabut,52,47,5
2011-01-10,2011,1,13,2011-01-10,iya,semi,berkabut,54,50,4
2011-01-10,2011,1,14,2011-01-10,iya,semi,berkabut,47,47,0
2011-01-10,2011,1,15,2011-01-10,iya,semi,berkabut,45,43,2
2011-01-10,2011,1,16,2011-01-10,iya,semi,Cerah,74,70,4
2011-01-10,2011,1,17,2011-01-10,iya,semi,Cerah,178,174,4
2011-01-10,2011,1,18,2011-01-10,iya,semi,Cerah,155,154,1
2011-01-10,2011,1,19,2011-01-10,iya,semi,Cerah,95,92,3
2011-01-10,2011,1,20,2011-01-10,iya,semi,Cerah,74,73,1
2011-01-10,2011,1,21,2011-01-10,iya,semi,Cerah,38,37,1
2011-01-10,2011,1,22,2011-01-10,iya,semi,Cerah,24,22,2
2011-01-10,2011,1,23,2011-01-10,iya,semi,Cerah,18,18,0
2011-01-11,2011,1,0,2011-01-11,iya,semi,Cerah,12,10,2
2011-01-11,2011,1,1,2011-01-11,iya,semi,Cerah,3,3,0
2011-01-11,2011,1,2,2011-01-11,iya,semi,berkabut,3,3,0
2011-01-11,2011,1,5,2011-01-11,iya,semi,berkabut,6,6,0
2011-01-11,2011,1,6,2011-01-11,iya,semi,berkabut,27,27,0
2011-01-11,2011,1,7,2011-01-11,iya,semi,berkabut,99,97,2
2011-01-11,2011,1,8,2011-01-11,iya,semi,berkabut,217,214,3
2011-01-11,2011,1,9,2011-01-11,iya,semi,berkabut,130,127,3
2011-01-11,2011,1,10,2011-01-11,iya,semi,berkabut,54,51,3
2011-01-11,2011,1,11,2011-01-11,iya,semi,berkabut,35,31,4
2011-01-11,2011,1,12,2011-01-11,iya,semi,berkabut,57,55,2
2011-01-11,2011,1,13,2011-01-11,iya,semi,berkabut,52,46,6
2011-01-11,2011,1,14,2011-01-11,iya,semi,berkabut,63,60,3
2011-01-11,2011,1,15,2011-01-11,iya,semi,berkabut,47,45,2
2011-01-11,2011,1,16,2011-01-11,iya,semi,berkabut,76,72,4
2011-01-11,2011,1,17,2011-01-11,iya,semi,berkabut,136,130,6
2011-01-11,2011,1,18,2011-01-11,iya,semi,Hujan Ringan/salju,95,94,1
2011-01-11,2011,1,19,2011-01-11,iya,semi,Hujan Ringan/salju,51,51,0
2011-01-11,2011,1,20,2011-01-11,iya,semi,Hujan Ringan/salju,32,32,0
2011-01-11,2011,1,21,2011-01-11,iya,semi,Hujan Ringan/salju,20,20,0
2011-01-11,2011,1,22,2011-01-11,iya,semi,Hujan Ringan/salju,29,28,1
2011-01-11,2011,1,23,2011-01-11,iya,semi,Hujan Ringan/salju,19,18,1
2011-01-12,2011,1,0,2011-01-12,iya,semi,berkabut,7,7,0
2011-01-12,2011,1,1,2011-01-12,iya,semi,berkabut,6,6,0
2011-01-12,2011,1,2,2011-01-12,iya,semi,Cerah,1,1,0
2011-01-12,2011,1,5,2011-01-12,iya,semi,Cerah,5,5,0
2011-01-12,2011,1,6,2011-01-12,iya,semi,Cerah,16,16,0
2011-01-12,2011,1,7,2011-01-12,iya,semi,Cerah,54,54,0
2011-01-12,2011,1,8,2011-01-12,iya,semi,Cerah,128,125,3
2011-01-12,2011,1,9,2011-01-12,iya,semi,Cerah,81,78,3
2011-01-12,2011,1,10,2011-01-12,iya,semi,Cerah,39,39,0
2011-01-12,2011,1,11,2011-01-12,iya,semi,Cerah,35,32,3
2011-01-12,2011,1,12,2011-01-12,iya,semi,Cerah,55,52,3
2011-01-12,2011,1,13,2011-01-12,iya,semi,Cerah,49,49,0
2011-01-12,2011,1,14,2011-01-12,iya,semi,Cerah,44,44,0
2011-01-12,2011,1,15,2011-01-12,iya,semi,Cerah,49,48,1
2011-01-12,2011,1,16,2011-01-12,iya,semi,Cerah,68,63,5
2011-01-12,2011,1,17,2011-01-12,iya,semi,Cerah,139,139,0
2011-01-12,2011,1,18,2011-01-12,iya,semi,Cerah,137,135,2
2011-01-12,2011,1,19,2011-01-12,iya,semi,Cerah,83,82,1
2011-01-12,2011,1,20,2011-01-12,iya,semi,Cerah,56,54,2
2011-01-12,2011,1,21,2011-01-12,iya,semi,Cerah,57,57,0
2011-01-12,2011,1,22,2011-01-12,iya,semi,Cerah,33,32,1
2011-01-12,2011,1,23,2011-01-12,iya,semi,Cerah,20,19,1
2011-01-13,2011,1,0,2011-01-13,iya,semi,Cerah,7,6,1
2011-01-13,2011,1,1,2011-01-13,iya,semi,Cerah,2,2,0
2011-01-13,2011,1,2,2011-01-13,iya,semi,Cerah,2,2,0
2011-01-13,2011,1,3,2011-01-13,iya,semi,Cerah,3,3,0
2011-01-13,2011,1,4,2011-01-13,iya,semi,Cerah,4,4,0
2011-01-13,2011,1,5,2011-01-13,iya,semi,Cerah,3,3,0
2011-01-13,2011,1,6,2011-01-13,iya,semi,Cerah,28,28,0
2011-01-13,2011,1,7,2011-01-13,iya,semi,Cerah,72,72,0
2011-01-13,2011,1,8,2011-01-13,iya,semi,Cerah,202,197,5
2011-01-13,2011,1,9,2011-01-13,iya,semi,Cerah,139,137,2
2011-01-13,2011,1,10,2011-01-13,iya,semi,berkabut,38,36,2
2011-01-13,2011,1,11,2011-01-13,iya,semi,berkabut,37,33,4
2011-01-13,2011,1,12,2011-01-13,iya,semi,Cerah,52,49,3
2011-01-13,2011,1,13,2011-01-13,iya,semi,Cerah,83,81,2
2011-01-13,2011,1,14,2011-01-13,iya,semi,Cerah,42,39,3
2011-01-13,2011,1,15,2011-01-13,iya,semi,Cerah,60,55,5
2011-01-13,2011,1,16,2011-01-13,iya,semi,Cerah,78,76,2
2011-01-13,2011,1,17,2011-01-13,iya,semi,Cerah,162,158,4
2011-01-13,2011,1,18,2011-01-13,iya,semi,Cerah,144,141,3
2011-01-13,2011,1,19,2011-01-13,iya,semi,Cerah,99,98,1
2011-01-13,2011,1,20,2011-01-13,iya,semi,Cerah,64,64,0
2011-01-13,2011,1,21,2011-01-13,iya,semi,Cerah,40,40,0
2011-01-13,2011,1,22,2011-01-13,iya,semi,Cerah,30,30,0
2011-01-13,2011,1,23,2011-01-13,iya,semi,Cerah,15,14,1
2011-01-14,2011,1,0,2011-01-14,iya,semi,Cerah,14,14,0
2011-01-14,2011,1,1,2011-01-14,iya,semi,Cerah,5,5,0
2011-01-14,2011,1,2,2011-01-14,iya,semi,Cerah,1,1,0
2011-01-14,2011,1,3,2011-01-14,iya,semi,Cerah,1,1,0
2011-01-14,2011,1,5,2011-01-14,iya,semi,Cerah,8,8,0
2011-01-14,2011,1,6,2011-01-14,iya,semi,Cerah,17,17,0
2011-01-14,2011,1,7,2011-01-14,iya,semi,Cerah,70,70,0
2011-01-14,2011,1,8,2011-01-14,iya,semi,Cerah,158,156,2
2011-01-14,2011,1,9,2011-01-14,iya,semi,Cerah,117,117,0
2011-01-14,2011,1,10,2011-01-14,iya,semi,Cerah,44,40,4
2011-01-14,2011,1,11,2011-01-14,iya,semi,Cerah,53,47,6
2011-01-14,2011,1,12,2011-01-14,iya,semi,Cerah,61,59,2
2011-01-14,2011,1,13,2011-01-14,iya,semi,Cerah,77,73,4
2011-01-14,2011,1,14,2011-01-14,iya,semi,Cerah,64,59,5
2011-01-14,2011,1,15,2011-01-14,iya,semi,Cerah,68,59,9
2011-01-14,2011,1,16,2011-01-14,iya,semi,Cerah,90,87,3
2011-01-14,2011,1,17,2011-01-14,iya,semi,Cerah,159,155,4
2011-01-14,2011,1,18,2011-01-14,iya,semi,Cerah,139,134,5
2011-01-14,2011,1,19,2011-01-14,iya,semi,Cerah,92,89,3
2011-01-14,2011,1,20,2011-01-14,iya,semi,Cerah,68,68,0
2011-01-14,2011,1,21,2011-01-14,iya,semi,Cerah,52,48,4
2011-01-14,2011,1,22,2011-01-14,iya,semi,berkabut,36,34,2
2011-01-14,2011,1,23,2011-01-14,iya,semi,berkabut,27,26,1
2011-01-15,2011,1,0,2011-01-15,tidak,semi,Cerah,28,25,3
2011-01-15,2011,1,1,2011-01-15,tidak,semi,berkabut,20,18,2
2011-01-15,2011,1,2,2011-01-15,tidak,semi,berkabut,12,12,0
2011-01-15,2011,1,3,2011-01-15,tidak,semi,berkabut,8,7,1
2011-01-15,2011,1,4,2011-01-15,tidak,semi,berkabut,5,5,0
2011-01-15,2011,1,5,2011-01-15,tidak,semi,Cerah,1,1,0
2011-01-15,2011,1,6,2011-01-15,tidak,semi,Cerah,3,2,1
2011-01-15,2011,1,7,2011-01-15,tidak,semi,Cerah,10,9,1
2011-01-15,2011,1,8,2011-01-15,tidak,semi,Cerah,23,22,1
2011-01-15,2011,1,9,2011-01-15,tidak,semi,Cerah,33,31,2
2011-01-15,2011,1,10,2011-01-15,tidak,semi,Cerah,59,57,2
2011-01-15,2011,1,11,2011-01-15,tidak,semi,Cerah,72,54,18
2011-01-15,2011,1,12,2011-01-15,tidak,semi,Cerah,89,74,15
2011-01-15,2011,1,13,2011-01-15,tidak,semi,Cerah,101,80,21
2011-01-15,2011,1,14,2011-01-15,tidak,semi,Cerah,118,92,26
2011-01-15,2011,1,15,2011-01-15,tidak,semi,berkabut,129,108,21
2011-01-15,2011,1,16,2011-01-15,tidak,semi,berkabut,128,95,33
2011-01-15,2011,1,17,2011-01-15,tidak,semi,berkabut,83,54,29
2011-01-15,2011,1,18,2011-01-15,tidak,semi,berkabut,84,69,15
2011-01-15,2011,1,19,2011-01-15,tidak,semi,berkabut,74,60,14
2011-01-15,2011,1,20,2011-01-15,tidak,semi,berkabut,41,35,6
2011-01-15,2011,1,21,2011-01-15,tidak,semi,berkabut,57,51,6
2011-01-15,2011,1,22,2011-01-15,tidak,semi,berkabut,26,26,0
2011-01-15,2011,1,23,2011-01-15,tidak,semi,Cerah,44,39,5
2011-01-16,2011,1,0,2011-01-16,tidak,semi,Cerah,39,33,6
2011-01-16,2011,1,1,2011-01-16,tidak,semi,Cerah,23,19,4
2011-01-16,2011,1,2,2011-01-16,tidak,semi,Cerah,16,13,3
2011-01-16,2011,1,3,2011-01-16,tidak,semi,Cerah,15,6,9
2011-01-16,2011,1,4,2011-01-16,tidak,semi,Cerah,1,1,0
2011-01-16,2011,1,5,2011-01-16,tidak,semi,berkabut,2,1,1
2011-01-16,2011,1,6,2011-01-16,tidak,semi,berkabut,1,1,0
2011-01-16,2011,1,7,2011-01-16,tidak,semi,berkabut,3,3,0
2011-01-16,2011,1,8,2011-01-16,tidak,semi,Cerah,18,18,0
2011-01-16,2011,1,9,2011-01-16,tidak,semi,Cerah,32,29,3
2011-01-16,2011,1,10,2011-01-16,tidak,semi,Cerah,79,71,8
